Area_Name,Category,Demand_Type,Near_Sea,Schools_Quality,Services_Level,Transportation,Investment_Potential,Resale_Liquidity,Area_Score,Key_Insights
Smouha,High-End,Family-Residential,0,5,5,4,5,5,92,"Elite schools, club proximity, strong resale market"
New Smouha,High-End,Family-Residential,0,4,4,3,4,4,85,"Modern compounds, growing demand"
Veranda Smouha,High-End,Gated-Community,0,4,4,3,4,4,83,"Secure compound, limited supply"
Sporting,Upper-Middle,Family-Classic,0,4,3,4,3,4,78,"Classic area, stable pricing"
Sidi Gaber,Upper-Middle,Investment-Rental,1,3,4,5,5,5,88,"Transport hub, high rental yield"
Stanley,Luxury,Luxury-SeaView,1,4,5,4,5,4,90,"Iconic bridge, premium sea views"
Glim,Upper-Middle,Mixed-Use,1,3,3,4,3,3,74,"Tram access, mid-range prices"
San Stefano,Luxury,Luxury-Investment,1,5,5,4,5,5,95,"Top-tier luxury, tourism & resale"
Roushdy,Upper-Middle,Balanced-Family,0,4,4,4,4,4,82,"Balanced price-to-location ratio"
Fleming,Upper-Middle,Rental-Oriented,0,3,3,4,4,4,77,"Strong rental demand"
Cleopatra,Upper-Middle,High-Density,0,3,3,4,3,3,72,"Dense but central"
Janaklees,Upper-Middle,Family-Residential,0,3,3,4,3,3,73,"Quiet streets, family appeal"
Montazah,Upper-Middle,Leisure-Residential,1,3,3,3,3,3,76,"Green areas, touristic value"
Maamoura,Middle,Seasonal-Residential,1,3,2,2,3,2,68,"Summer-focused demand"
Miami,Middle,High-Density,1,2,2,3,2,2,62,"Affordable coastal housing"
New Miami,Middle,Affordable-Residential,1,2,2,3,2,2,60,"Lower prices, high density"
Asafra,Middle,Popular-Housing,1,2,2,3,2,2,61,"Mass-market demand"
Mandara,Middle,Popular-Housing,1,2,2,3,2,2,63,"Affordable seaside living"
Raml Station,Commercial-Historic,Commercial-Tourism,1,3,4,5,4,4,80,"Tourism & business hub"
Manshiyya,Commercial-Historic,Administrative,0,2,3,5,3,3,70,"Government & courts"
Attarin,Commercial-Historic,Traditional-Commerce,0,2,2,4,2,2,65,"Old markets & trade"
Anfoshy,Historic,Heritage-Coastal,1,2,2,3,2,2,67,"Cultural & fishing area"
Shatby,Student-Area,Student-Rental,1,3,3,4,4,4,79,"University-driven rentals"
Azarita,Student-Area,Medical-Rental,0,3,3,4,4,4,78,"Hospitals & students"
Camp Chezar,Upper-Middle,Classic-SeaSide,1,4,4,3,4,4,84,"Classic sea-facing buildings"
Agami,Economic,Seasonal-LowCost,1,1,1,2,2,1,50,"Low entry price, weak resale"
Borg El Arab,Industrial-New,Industrial-Investment,0,2,3,3,4,2,69,"Industrial employment driver"
Borg El Arab City,Industrial-New,Planned-City,0,3,3,3,4,3,72,"Future growth potential"
Amreya,Economic,Industrial-Housing,0,1,2,2,2,1,48,"Worker housing"
King Mariout,Economic,Logistics-Industrial,0,1,2,2,2,1,46,"Logistics & industrial zone"

